MsgID;Method;TimeOfProcessing(s);;URL
7cdf00ad.32fe5;POST;4;;http://<IP>:8041/authority/create
7cdf00ad.32fe5;POST;4;;http://<IP>:8051/authority/create
7cdf00ad.32fe5;POST;2.7;;http://<IP>:8042/crossborder/create
7cdf00ad.32fe5;POST;2.4;;http://<IP>:8052/crossborder/create
7cdf00ad.32fe5;POST;3.7;;http://<IP>:8011/dg/create
7cdf00ad.32fe5;POST;2.3;;http://<IP>:8011/dg/create
7cdf00ad.32fe5;POST;2.2;;http://<IP>:8011/dg/create
7cdf00ad.32fe5;POST;2.3;;http://<IP>:8012/iot/create
7cdf00ad.32fe5;POST;1;;http://<IP>:8012/iot/create
7cdf00ad.32fe5;POST;1;;http://<IP>:8012/iot/create
7cdf00ad.32fe5;GET;2.8;;http://<IP>:8031/dg/get_all
7cdf00ad.32fe5;GET;2.3;;http://<IP>:8032/iot/get_all
7cdf00ad.32fe5;POST;4;;http://<IP>:8061/warehouse/create
7cdf00ad.32fe5;POST;1;;http://<IP>:8071/warehouse/create
7cdf00ad.32fe5;POST;0;;http://<IP>:8061/warehouse/create
7cdf00ad.32fe5;POST;0;;http://<IP>:8071/warehouse/create
7cdf00ad.32fe5;POST;2.8;;http://<IP>:8033/transport/create
a4cd822f.db183;POST;2.7;;http://<IP>:8013/process/initialize
a4cd822f.db183;POST;2.4;;http://<IP>:8013/process/schedule_move
a4cd822f.db183;POST;2.1;;http://<IP>:8041/authority/notify_new_process
a4cd822f.db183;POST;2.2;;http://<IP>:8051/authority/notify_new_process
74c70f38.167dc;POST;2.2;;http://<IP>:8041/authority/approve_process
74c70f38.167dc;POST;2.4;;http://<IP>:8043/process/approve
6743cdd.c70a434;POST;2.2;;http://<IP>:8051/authority/approve_process
6743cdd.c70a434;POST;2.3;;http://<IP>:8053/process/approve
e390a06f.d0968;POST;2.3;;http://<IP>:8034/process/move
e390a06f.d0968;POST;2.3;;http://<IP>:8033/transport/move
caa65e2e.c5041;POST;2.2;;http://<IP>:8032/iot/collect_location
69e42bb.08cbed4;POST;2.3;;http://<IP>:8032/iot/collect_humidity
a17562cd.1900b;POST;2.2;;http://<IP>:8032/iot/collect_temperature
fe615962.323b78;POST;2.3;;http://<IP>:8032/iot/collect_humidity
a3196040.676b3;POST;2.3;;http://<IP>:8032/iot/collect_temperature
6546d035.c7131;POST;2.3;;http://<IP>:8032/iot/collect_location
c897d5ad.0971e8;POST;2.3;;http://<IP>:8032/iot/collect_humidity
